date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Loyola (MD),Neutral,W,67-56,,NR,Q4
Nov 8,Houston,Away,L,65-48,4,NR,Q1
Nov 11,Wilson,Home,W,101-62,,NR,Q4
Nov 14,Norfolk State,Home,W,51-41,309,NR,Q4
Nov 18,James Madison,Away,L,81-75,219,NR,Q3
Nov 24,Rhode Island,Neutral,W,62-55,136,NR,Q3
Nov 25,Liberty,Neutral,W,72-69,74,NR,Q2
Nov 26,UC San Diego,Neutral,L,87-73,125,NR,Q3
Dec 3,Cornell,Home,W,93-80,146,NR,Q3
Dec 7,UCF,Away,L,86-61,50,NR,Q1
Dec 16,Kansas,Away,L,73-49,14,NR,Q1
Dec 19,Notre Dame (MD),Home,W,107-60,,NR,Q4
Dec 22,Sacred Heart,Home,W,72-47,297,NR,Q4
Dec 29,William & Mary,Away,L,84-70,114,NR,Q2
Dec 31,Hampton,Away,L,63-62,258,NR,Q4
Jan 3,Monmouth,Home,L,62-48,193,NR,Q4
Jan 8,Hofstra,Home,L,78-67,102,NR,Q3
Jan 10,Northeastern,Away,W,87-78,273,NR,Q4
Jan 15,College of Charleston,Home,W,61-52,,NR,Q4
Jan 19,Drexel,Home,W,59-58,217,NR,Q4
Jan 22,Elon,Away,W,72-59,192,NR,Q3
Jan 24,North Carolina A&T,Away,L,80-73,,NR,Q4
Jan 29,UNC Wilmington,Home,L,82-73,,NR,Q4
Jan 31,Hampton,Home,W,82-50,258,NR,Q4
Feb 7,Hofstra,Away,L,71-49,102,NR,Q2
Feb 12,Stony Brook,Home,W,69-57,212,NR,Q4
Feb 15,Monmouth,Away,L,72-71,193,NR,Q3
Feb 21,Drexel,Away,TBD,,217,NR,Q3
Feb 26,Elon,Home,TBD,,192,NR,Q4
Feb 28,Campbell,Home,TBD,,207,NR,Q4
Mar 3,Stony Brook,Away,TBD,,212,NR,Q3
