date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 6,Florida,Away,L,104-64,9,NR,Q1
Nov 12,Tennessee,Away,L,99-66,22,NR,Q1
Nov 15,New College of Florida,Home,W,122-67,,NR,Q4
Nov 19,Wofford,Away,L,86-78,229,NR,Q3
Nov 22,Southern Mississippi,Neutral,L,92-83,,NR,Q4
Nov 23,Prairie View,Neutral,L,85-82,330,NR,Q4
Nov 29,Trinity Baptist,Home,W,111-67,,NR,Q4
Dec 2,Southern Illinois-Edwardsville,Home,L,72-63,,NR,Q4
Dec 7,Gonzaga,Away,L,109-58,6,NR,Q1
Dec 13,Dayton,Away,L,84-61,89,NR,Q2
Dec 18,Charleston Southern,Away,L,113-90,,NR,Q4
Dec 21,Miami (FL),Away,L,105-67,35,NR,Q1
Dec 28,Columbia,Home,L,90-82,180,NR,Q4
Jan 1,Austin Peay,Away,L,102-83,134,NR,Q2
Jan 3,Lipscomb,Away,L,82-74,186,NR,Q3
Jan 8,West Georgia,Home,L,85-73,,NR,Q4
Jan 10,Queens (NC),Home,L,89-82,205,NR,Q4
Jan 15,North Alabama,Away,W,105-91,,NR,Q4
Jan 17,Central Arkansas,Away,L,98-69,181,NR,Q3
Jan 22,Eastern Kentucky,Home,W,87-85,281,NR,Q4
Jan 24,Bellarmine,Home,W,117-114,288,NR,Q4
Jan 29,Stetson,Home,L,84-77,325,NR,Q4
Jan 31,Lipscomb,Home,L,100-94,186,NR,Q4
Feb 5,West Georgia,Away,W,81-73,,NR,Q4
Feb 7,Queens (NC),Away,L,91-72,205,NR,Q3
Feb 11,Florida Gulf Coast,Away,L,90-81,257,NR,Q4
Feb 14,Jacksonville,Away,L,63-56,306,NR,Q4
Feb 19,Austin Peay,Home,TBD,,134,NR,Q3
Feb 21,Stetson,Away,TBD,,325,NR,Q4
Feb 26,Florida Gulf Coast,Home,TBD,,257,NR,Q4
Feb 28,Jacksonville,Home,TBD,,306,NR,Q4
