date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,California Baptist,Away,L,87-75,109,NR,Q2
Nov 5,Fresno State,Away,W,67-66,137,NR,Q3
Nov 8,Southern Virginia,Home,W,105-46,,NR,Q4
Nov 12,Bob Jones University,Home,W,114-53,,NR,Q4
Nov 15,UNC Wilmington,Away,L,73-60,,NR,Q4
Nov 19,Tennessee Tech,Home,L,88-84,316,NR,Q4
Nov 21,West Georgia,Away,L,72-64,,NR,Q4
Nov 25,North Carolina Central,Home,W,82-67,340,NR,Q4
Nov 29,Nebraska,Away,L,72-63,11,NR,Q1
Dec 3,Coastal Carolina,Home,W,85-78,221,NR,Q4
Dec 6,Western Carolina,Home,W,78-67,263,NR,Q4
Dec 13,North Carolina,Away,L,80-62,25,NR,Q1
Dec 16,South Carolina State,Away,W,78-72,358,NR,Q4
Dec 17,Southern Wesleyan,Home,W,98-63,,NR,Q4
Dec 20,Youngstown State,Away,L,74-65,,NR,Q4
Dec 31,Radford,Home,L,76-69,239,NR,Q4
Jan 3,Presbyterian,Away,L,86-77,271,NR,Q4
Jan 10,Winthrop,Home,L,71-50,121,NR,Q3
Jan 14,Charleston Southern,Away,W,86-81,,NR,Q4
Jan 17,High Point,Away,L,89-69,75,NR,Q1
Jan 21,UNC Asheville,Home,L,83-69,228,NR,Q4
Jan 23,Gardner-Webb,Away,L,67-65,363,NR,Q4
Jan 29,Longwood,Home,W,65-60,272,NR,Q4
Feb 4,UNC Asheville,Away,L,76-67,228,NR,Q3
Feb 7,Charleston Southern,Home,W,100-94,,NR,Q4
Feb 12,High Point,Home,L,95-70,75,NR,Q2
Feb 14,Longwood,Away,L,82-75,272,NR,Q4
Feb 19,Winthrop,Away,TBD,,121,NR,Q2
Feb 21,Presbyterian,Home,TBD,,271,NR,Q4
Feb 26,Radford,Away,TBD,,239,NR,Q3
Feb 28,Gardner-Webb,Home,TBD,,363,NR,Q4
