rank,team,conference,record
1,Duke,27-2,ACC
2,Michigan,27-2,Big Ten
3,Arizona,27-2,Big 12
4,Florida,23-6,SEC
5,Illinois,22-7,Big Ten
6,Gonzaga,28-3,WCC
7,Houston,24-5,Big 12
8,Purdue,22-6,Big Ten
9,UConn,27-3,Big East
10,Iowa St.,24-5,Big 12
11,Michigan St.,23-5,Big Ten
12,Nebraska,25-4,Big Ten
13,Texas Tech,22-7,Big 12
14,Virginia,25-4,ACC
15,Alabama,22-7,SEC
16,Kansas,21-8,Big 12
17,Louisville,20-9,ACC
18,Vanderbilt,22-7,SEC
19,Arkansas,21-8,SEC
20,Tennessee,20-9,SEC
21,Saint Mary's (CA),26-4,WCC
22,St. John's (NY),23-6,Big East
23,BYU,20-9,Big 12
24,Saint Louis,25-3,Atlantic 10
25,Utah St.,23-5,Mountain West
26,North Carolina,23-6,ACC
27,Kentucky,19-10,SEC
28,Iowa,20-9,Big Ten
29,NC State,19-10,ACC
30,Georgia,20-9,SEC
31,Miami (FL),23-6,ACC
32,Wisconsin,20-9,Big Ten
33,Villanova,22-7,Big East
34,Clemson,21-8,ACC
35,SMU,19-10,ACC
36,Texas,17-11,SEC
37,Ohio St.,17-11,Big Ten
38,Indiana,17-11,Big Ten
39,Auburn,15-14,SEC
40,UCLA,19-10,Big Ten
41,Santa Clara,23-7,WCC
42,New Mexico,21-7,Mountain West
43,Texas A&M,19-10,SEC
44,San Diego St.,18-9,Mountain West
45,TCU,19-10,Big 12
46,UCF,20-8,Big 12
47,VCU,22-7,Atlantic 10
48,Cincinnati,16-13,Big 12
49,Baylor,14-14,Big 12
50,Tulsa,21-6,American
51,Miami (OH),26-0,MAC
52,South Fla.,19-8,American
53,Belmont,25-4,MVC
54,Missouri,20-9,SEC
55,Virginia Tech,18-11,ACC
56,Seton Hall,19-10,Big East
57,Akron,22-5,MAC
58,Boise St.,17-10,Mountain West
59,West Virginia,17-12,Big 12
60,McNeese,23-5,Southland
61,Oklahoma,15-14,SEC
62,Washington,14-15,Big Ten
63,Southern California,17-11,Big Ten
64,California,19-9,ACC
65,Stanford,18-11,ACC
66,Yale,20-5,Ivy League
67,Nevada,19-10,Mountain West
68,Wake Forest,15-14,ACC
69,Minnesota,14-15,Big Ten
70,LSU,15-14,SEC
71,Dayton,20-9,Atlantic 10
72,Northwestern,13-16,Big Ten
73,Arizona St.,15-14,Big 12
74,Providence,14-15,Big East
75,Grand Canyon,18-11,Mountain West
76,High Point,24-4,Big South
77,Florida St.,15-14,ACC
78,Colorado,16-13,Big 12
79,Syracuse,15-14,ACC
80,Butler,15-14,Big East
81,Wichita St.,18-10,American
82,Utah Valley,19-7,WAC
83,Oklahoma St.,17-12,Big 12
84,SFA,24-4,Southland
85,George Washington,15-13,Atlantic 10
86,UNI,17-12,MVC
87,Creighton,14-16,Big East
88,Colorado St.,18-10,Mountain West
89,UNCW,23-4,CAA
90,Ole Miss,12-17,SEC
91,Notre Dame,13-16,ACC
92,Illinois St.,18-11,MVC
93,Hofstra,18-10,CAA
94,Xavier,14-15,Big East
95,Liberty,21-5,CUSA
96,Sam Houston,18-8,CUSA
97,George Mason,21-7,Atlantic 10
98,Georgetown,13-16,Big East
99,Murray St.,20-10,MVC
100,Marquette,10-18,Big East
101,DePaul,15-13,Big East
102,Wyoming,15-13,Mountain West
103,Kansas St.,11-18,Big 12
104,Davidson,15-11,Atlantic 10
105,Mississippi St.,13-16,SEC
106,Hawaii,19-7,Big West
107,St. Thomas (MN),20-8,Summit League
108,South Carolina,12-17,SEC
109,Oregon,11-18,Big Ten
110,UIC,15-13,MVC
111,UAB,17-10,American
112,Pittsburgh,11-18,ACC
113,California Baptist,21-8,WAC
114,Bradley,18-11,MVC
115,Pacific,15-14,WCC
116,North Dakota St.,21-7,Summit League
117,Southern Ill.,14-15,MVC
118,Seattle U,17-12,WCC
119,Memphis,12-16,American
120,UC Irvine,18-10,Big West
121,UC San Diego,19-9,Big West
122,Fla. Atlantic,14-13,American
123,San Francisco,15-15,WCC
124,Utah,10-19,Big 12
125,William & Mary,16-11,CAA
126,Penn St.,12-17,Big Ten
127,UNLV,14-14,Mountain West
128,Navy,23-6,Patriot
129,ETSU,19-10,SoCon
130,Winthrop,18-10,Big South
131,Saint Joseph's,17-10,Atlantic 10
132,Duquesne,14-13,Atlantic 10
133,Montana St.,14-13,Big Sky
134,Western Ky.,16-11,CUSA
135,Washington St.,11-19,WCC
136,UC Santa Barbara,16-12,Big West
137,UTRGV,15-13,Southland
138,Troy,18-11,Sun Belt
139,Maryland,11-17,Big Ten
140,Fresno St.,11-17,Mountain West
141,Wright St.,18-11,Horizon
142,Rhode Island,15-14,Atlantic 10
143,Robert Morris,19-10,Horizon
144,Arkansas St.,18-11,Sun Belt
145,Richmond,14-14,Atlantic 10
146,Northern Colo.,16-11,Big Sky
147,Kent St.,19-8,MAC
148,Portland St.,15-10,Big Sky
149,North Texas,14-13,American
150,Col. of Charleston,19-10,CAA
151,St. Bonaventure,14-14,Atlantic 10
152,Valparaiso,16-14,MVC
153,Harvard,15-11,Ivy League
154,Cornell,12-12,Ivy League
155,Toledo,14-13,MAC
156,Austin Peay,19-8,ASUN
157,Bowling Green,14-13,MAC
158,Penn,14-11,Ivy League
159,Kennesaw St.,15-11,CUSA
160,Middle Tenn.,12-14,CUSA
161,Marshall,18-12,Sun Belt
162,Rutgers,11-17,Big Ten
163,Boston College,10-19,ACC
164,Central Ark.,18-11,ASUN
165,UT Arlington,13-13,WAC
166,Marist,17-10,MAAC
167,Temple,14-13,American
168,LMU (CA),14-16,WCC
169,Oakland,15-15,Horizon
170,Georgia Tech,11-18,ACC
171,Utah Tech,15-13,WAC
172,Mercer,16-12,SoCon
173,Idaho,13-14,Big Sky
174,Charlotte,14-13,American
175,Lipscomb,17-12,ASUN
176,UC Davis,15-12,Big West
177,Oregon St.,16-15,WCC
178,South Alabama,19-10,Sun Belt
179,Columbia,14-11,Ivy League
180,Monmouth,15-14,CAA
181,Towson,14-14,CAA
182,Fordham,13-13,Atlantic 10
183,App State,17-12,Sun Belt
184,CSUN,16-12,Big West
185,New Mexico St.,10-15,CUSA
186,Merrimack,20-10,MAAC
187,Weber St.,14-14,Big Sky
188,Montana,13-13,Big Sky
189,Tennessee St.,18-9,OVC
190,Northern Ky.,15-13,Horizon
191,Buffalo,14-13,MAC
192,Tulane,16-11,American
193,Eastern Wash.,12-17,Big Sky
194,Siena,19-11,MAAC
195,Cal St. Fullerton,13-15,Big West
196,LIU,21-10,NEC
197,A&M-Corpus Christi,12-14,Southland
198,UT Martin,18-10,OVC
199,Furman,16-12,SoCon
200,FIU,11-15,CUSA
201,Queens (NC),17-13,ASUN
202,Drake,10-18,MVC
203,Howard,15-10,MEAC
