rank,team,conference,record
1,Michigan,37-3,Big Ten
2,Duke,35-3,ACC
3,Arizona,36-3,Big 12
4,Florida,27-8,SEC
5,Illinois,28-9,Big Ten
6,Houston,30-7,Big 12
7,Iowa St.,29-8,Big 12
8,Purdue,30-9,Big Ten
9,UConn,34-6,Big East
10,Gonzaga,31-4,WCC
11,Michigan St.,27-8,Big Ten
12,Nebraska,28-7,Big Ten
13,St. John's (NY),30-7,Big East
14,Alabama,25-10,SEC
15,Vanderbilt,27-9,SEC
16,Virginia,30-6,ACC
17,Tennessee,25-12,SEC
18,Arkansas,28-9,SEC
19,Louisville,24-11,ACC
20,Texas Tech,23-11,Big 12
21,Kansas,24-11,Big 12
22,Iowa,24-13,Big Ten
23,BYU,23-12,Big 12
24,Saint Mary's (CA),26-6,WCC
25,Utah St.,28-7,Mountain West
26,North Carolina,24-9,ACC
27,Wisconsin,24-11,Big Ten
28,Kentucky,22-14,SEC
29,Saint Louis,28-6,Atlantic 10
30,Ohio St.,21-13,Big Ten
31,UCLA,24-12,Big Ten
32,Miami (FL),26-9,ACC
33,Georgia,22-11,SEC
34,Villanova,24-9,Big East
35,Clemson,24-11,ACC
36,NC State,20-14,ACC
37,Auburn,22-16,SEC
38,Texas,20-15,SEC
39,TCU,23-12,Big 12
40,SMU,20-14,ACC
41,Indiana,18-14,Big Ten
42,Santa Clara,25-9,WCC
43,Texas A&M,22-12,SEC
44,VCU,28-8,Atlantic 10
45,South Fla.,24-9,American
46,New Mexico,25-11,Mountain West
47,Oklahoma,21-16,SEC
48,San Diego St.,21-11,Mountain West
49,Cincinnati,18-15,Big 12
50,Baylor,16-17,Big 12
51,Tulsa,28-8,American
52,UCF,21-12,Big 12
53,Seton Hall,21-12,Big East
54,West Virginia,21-14,Big 12
55,Washington,16-17,Big Ten
56,Virginia Tech,19-13,ACC
57,McNeese,26-6,Southland
58,Akron,27-6,MAC
59,Missouri,20-13,SEC
60,Boise St.,19-11,Mountain West
61,Northwestern,15-19,Big Ten
62,Stanford,20-13,ACC
63,Florida St.,18-15,ACC
64,Belmont,25-6,MVC
65,Miami (OH),29-2,MAC
66,Dayton,25-12,Atlantic 10
67,Nevada,24-13,Mountain West
68,High Point,28-5,Big South
69,Wake Forest,18-17,ACC
70,Wichita St.,23-12,American
71,Grand Canyon,20-12,Mountain West
72,California,21-12,ACC
73,Arizona St.,17-16,Big 12
74,Yale,22-7,Ivy League
75,LSU,15-17,SEC
76,Colorado,17-16,Big 12
77,Southern California,17-14,Big Ten
78,Providence,15-18,Big East
79,UNI,22-13,MVC
80,Ole Miss,15-20,SEC
81,Oklahoma St.,20-15,Big 12
82,Minnesota,15-18,Big Ten
83,Creighton,16-18,Big East
84,Butler,16-16,Big East
85,Syracuse,15-17,ACC
86,Utah Valley,22-9,WAC
87,Georgetown,16-18,Big East
88,Colorado St.,20-13,Mountain West
89,SFA,26-6,Southland
90,Hofstra,22-11,CAA
91,Illinois St.,22-13,MVC
92,George Washington,18-16,Atlantic 10
93,Marquette,12-20,Big East
94,George Mason,22-10,Atlantic 10
95,Notre Dame,13-18,ACC
96,Xavier,15-18,Big East
97,Wyoming,17-15,Mountain West
98,California Baptist,25-9,WAC
99,Kansas St.,12-20,Big 12
100,UNCW,25-7,CAA
101,DePaul,16-16,Big East
102,Liberty,23-8,CUSA
103,Hawaii,22-9,Big West
104,South Carolina,13-19,SEC
105,UNLV,17-17,Mountain West
106,Pittsburgh,13-20,ACC
107,Oregon,12-20,Big Ten
108,Mississippi St.,13-19,SEC
109,Sam Houston,19-12,CUSA
110,Murray St.,20-13,MVC
111,Saint Joseph's,22-12,Atlantic 10
112,Davidson,18-14,Atlantic 10
113,St. Thomas (MN),21-10,Summit League
114,Pacific,16-15,WCC
115,UIC,17-16,MVC
116,North Dakota St.,24-8,Summit League
117,Bradley,20-13,MVC
118,UAB,19-12,American
119,Seattle U,19-14,WCC
120,UC Irvine,21-12,Big West
121,San Francisco,16-16,WCC
122,Southern Ill.,15-16,MVC
123,Fla. Atlantic,16-15,American
124,UC San Diego,21-11,Big West
125,Wright St.,21-12,Horizon
126,UTRGV,17-14,Southland
127,William & Mary,18-12,CAA
128,Memphis,13-19,American
129,Winthrop,20-11,Big South
130,Duquesne,16-15,Atlantic 10
131,Maryland,12-21,Big Ten
132,Montana St.,15-14,Big Sky
133,Utah,10-22,Big 12
134,Toledo,17-15,MAC
135,North Texas,17-14,American
136,Rutgers,14-20,Big Ten
137,Troy,20-12,Sun Belt
138,Penn St.,12-20,Big Ten
139,ETSU,21-11,SoCon
140,St. Bonaventure,16-17,Atlantic 10
141,Navy,24-8,Patriot
142,UC Santa Barbara,16-14,Big West
143,Robert Morris,20-11,Horizon
144,Washington St.,11-20,WCC
145,Portland St.,17-11,Big Sky
146,Penn,17-12,Ivy League
147,Kennesaw St.,18-14,CUSA
148,Northern Colo.,17-12,Big Sky
149,Cornell,13-13,Ivy League
150,Rhode Island,16-16,Atlantic 10
151,Fresno St.,12-19,Mountain West
152,Idaho,18-15,Big Sky
153,Kent St.,22-10,MAC
154,Harvard,16-12,Ivy League
155,Arkansas St.,18-12,Sun Belt
156,Western Ky.,16-14,CUSA
157,Valparaiso,17-15,MVC
158,Boston College,11-20,ACC
159,Bowling Green,15-14,MAC
160,Towson,17-15,CAA
161,Richmond,14-17,Atlantic 10
162,Middle Tenn.,14-15,CUSA
163,UT Arlington,16-14,WAC
164,Austin Peay,20-9,ASUN
165,Col. of Charleston,20-11,CAA
166,Central Ark.,20-12,ASUN
167,Temple,15-16,American
168,Monmouth,18-15,CAA
169,Georgia Tech,11-20,ACC
170,Marshall,18-13,Sun Belt
171,Charlotte,16-17,American
172,Oregon St.,17-16,WCC
173,Siena,23-12,MAAC
174,Fordham,14-15,Atlantic 10
175,Oakland,15-16,Horizon
176,Tennessee St.,20-10,OVC
177,Utah Tech,16-15,WAC
178,Merrimack,23-11,MAAC
179,UC Davis,17-14,Big West
180,Cal St. Fullerton,16-16,Big West
181,Marist,18-12,MAAC
182,LMU (CA),14-17,WCC
183,Furman,19-13,SoCon
184,Mercer,16-13,SoCon
185,South Alabama,19-12,Sun Belt
186,Northern Ky.,17-14,Horizon
187,New Mexico St.,13-16,CUSA
188,Columbia,14-12,Ivy League
189,CSUN,18-14,Big West
190,A&M-Corpus Christi,14-15,Southland
191,App State,17-13,Sun Belt
192,Queens (NC),20-14,ASUN
193,Lipscomb,17-13,ASUN
194,Howard,20-11,MEAC
195,FIU,12-17,CUSA
196,Montana,15-15,Big Sky
197,Buffalo,15-15,MAC
198,LIU,24-11,NEC
199,UMBC,22-9,America East
200,Campbell,14-18,CAA
201,Drake,12-20,MVC
202,Massachusetts,16-16,MAC
203,Weber St.,14-16,Big Sky
204,Eastern Wash.,13-19,Big Sky
205,Missouri St.,13-18,CUSA
206,Tulane,17-15,American
207,UT Martin,19-11,OVC
208,Louisiana Tech,17-14,CUSA
209,James Madison,17-15,Sun Belt
210,Quinnipiac,18-13,MAAC
211,South Dakota St.,11-18,Summit League
212,Drexel,16-16,CAA
213,Samford,16-14,SoCon
214,Jacksonville St.,12-17,CUSA
215,New Orleans,15-18,Southland
216,Southern Miss.,17-16,Sun Belt
217,Indiana St.,9-21,MVC
218,Green Bay,16-15,Horizon
219,Youngstown St.,12-17,Horizon
220,Detroit Mercy,15-15,Horizon
221,Ga. Southern,19-16,Sun Belt
222,Elon,12-18,CAA
223,Portland,13-19,WCC
224,Southeast Mo. St.,17-13,OVC
225,Western Caro.,13-16,SoCon
226,Coastal Carolina,18-13,Sun Belt
227,Cal Poly,12-19,Big West
228,Colgate,16-15,Patriot
229,Vermont,20-12,America East
230,Tarleton St.,10-18,WAC
231,Saint Peter's,16-12,MAAC
232,Ohio,13-17,MAC
233,Stony Brook,15-15,CAA
234,Iona,18-14,MAAC
235,UNC Asheville,12-17,Big South
236,San Diego,10-21,WCC
237,Texas St.,17-13,Sun Belt
238,Fairfield,20-13,MAAC
239,Idaho St.,10-20,Big Sky
240,Eastern Mich.,9-21,MAC
241,Charleston So.,12-17,Big South
242,Rice,11-18,American
243,San Jose St.,8-24,Mountain West
244,La Salle,8-23,Atlantic 10
245,Denver,12-17,Summit League
246,Wofford,17-13,SoCon
247,FGCU,14-18,ASUN
248,Abilene Christian,11-19,WAC
249,Lamar University,10-19,Southland
250,Nicholls,13-19,Southland
251,Princeton,8-20,Ivy League
252,Radford,13-16,Big South
253,Milwaukee,11-20,Horizon
254,Purdue Fort Wayne,14-15,Horizon
255,Old Dominion,11-21,Sun Belt
256,American,14-16,Patriot
257,Long Beach St.,8-22,Big West
258,Presbyterian,12-18,Big South
259,SIUE,16-13,OVC
260,Bethune-Cookman,16-15,SWAC
261,Omaha,12-17,Summit League
262,East Carolina,10-20,American
263,Longwood,13-16,Big South
264,Lindenwood,15-15,OVC
265,Morehead St.,17-13,OVC
266,Boston U.,16-17,Patriot
267,Dartmouth,9-16,Ivy League
268,UTEP,8-20,CUSA
269,Hampton,11-19,CAA
270,Sacramento St.,7-21,Big Sky
271,North Dakota,15-17,Summit League
272,Southern Utah,7-22,WAC
273,UC Riverside,8-22,Big West
274,Mercyhurst,15-17,NEC
275,Pepperdine,7-23,WCC
276,N.C. A&T,9-19,CAA
277,Mount St. Mary's,14-17,MAAC
278,Loyola Chicago,9-24,Atlantic 10
279,Southern U.,14-17,SWAC
280,UIW,9-19,Southland
281,Central Mich.,8-21,MAC
282,Lehigh,16-17,Patriot
283,Western Mich.,9-20,MAC
284,Delaware,10-20,CUSA
285,Bellarmine,11-19,ASUN
286,South Dakota,13-16,Summit League
287,Northeastern,7-24,CAA
288,Chattanooga,10-19,SoCon
289,Central Conn. St.,16-12,NEC
290,Le Moyne,14-17,NEC
291,Eastern Ky.,9-21,ASUN
292,Sacred Heart,13-19,MAAC
293,UNC Greensboro,13-19,SoCon
294,Houston Christian,10-20,Southland
295,Southeastern La.,8-22,Southland
296,Jacksonville,10-20,ASUN
297,Brown,7-18,Ivy League
298,West Ga.,13-17,ASUN
299,Ball St.,10-19,MAC
300,Northwestern St.,8-22,Southland
301,Prairie View,15-18,SWAC
302,USC Upstate,10-19,Big South
303,Wagner,11-17,NEC
304,East Texas A&M,9-21,Southland
305,Grambling,12-19,SWAC
306,Georgia St.,8-22,Sun Belt
307,Evansville,5-25,MVC
308,Tennessee Tech,10-18,OVC
309,Little Rock,10-20,OVC
310,Alabama A&M,15-15,SWAC
311,Florida A&M,13-16,SWAC
312,Stetson,10-21,ASUN
313,Louisiana,11-22,Sun Belt
314,Oral Roberts,7-23,Summit League
315,Northern Ariz.,7-22,Big Sky
316,Ark.-Pine Bluff,11-19,SWAC
317,Norfolk St.,11-17,MEAC
318,Cleveland St.,8-22,Horizon
319,IU Indy,5-25,Horizon
320,Eastern Ill.,10-20,OVC
321,UMass Lowell,12-18,America East
322,Texas Southern,10-18,SWAC
323,Alabama St.,9-22,SWAC
324,Lafayette,10-21,Patriot
325,New Haven,11-17,NEC
326,UAlbany,8-21,America East
327,NJIT,15-17,America East
328,Manhattan,11-20,MAAC
329,Loyola Maryland,10-20,Patriot
330,CSU Bakersfield,6-24,Big West
331,Holy Cross,9-22,Patriot
332,Stonehill,10-21,NEC
333,FDU,8-21,NEC
334,Bucknell,10-23,Patriot
335,NIU,7-21,MAC
336,Army West Point,9-21,Patriot
337,North Florida,5-25,ASUN
338,North Ala.,7-21,ASUN
339,Maine,7-24,America East
340,Niagara,7-22,MAAC
341,N.C. Central,10-18,MEAC
342,UTSA,3-25,American
343,Chicago St.,6-25,NEC
344,Canisius,9-21,MAAC
345,Southern Ind.,5-23,OVC
346,The Citadel,8-22,SoCon
347,Jackson St.,12-21,SWAC
348,New Hampshire,7-21,America East
349,Alcorn,9-23,SWAC
350,Air Force,3-29,Mountain West
351,UMES,7-23,MEAC
352,Morgan St.,11-16,MEAC
353,Saint Francis,5-24,NEC
354,Bryant,7-22,America East
355,ULM,2-28,Sun Belt
356,South Carolina St.,8-22,MEAC
357,Rider,3-25,MAAC
358,Kansas City,1-27,Summit League
359,VMI,3-26,SoCon
360,Binghamton,5-23,America East
361,Gardner-Webb,2-28,Big South
362,Delaware St.,5-22,MEAC
363,Coppin St.,6-24,MEAC
364,Western Ill.,2-26,OVC
365,Mississippi Val.,2-30,SWAC
