rank,team,conference,record
191,A&M-Corpus Christi,14-15,Southland
192,App State,17-13,Sun Belt
193,Lipscomb,17-13,ASUN
194,Montana,15-15,Big Sky
195,Buffalo,15-15,MAC
196,FIU,12-17,CUSA
197,Massachusetts,16-15,MAC
198,LIU,24-10,NEC
199,Drake,12-20,MVC
200,Campbell,14-18,CAA
201,UMBC,21-8,America East
202,Howard,17-10,MEAC
203,Weber St.,14-16,Big Sky
204,Eastern Wash.,13-19,Big Sky
205,Missouri St.,13-17,CUSA
206,UT Martin,19-11,OVC
207,Louisiana Tech,16-13,CUSA
208,Tulane,17-15,American
209,James Madison,17-15,Sun Belt
210,South Dakota St.,11-18,Summit League
211,Indiana St.,9-21,MVC
212,Drexel,16-16,CAA
213,Quinnipiac,18-13,MAAC
214,Southern Miss.,17-16,Sun Belt
215,New Orleans,15-18,Southland
216,Jacksonville St.,12-17,CUSA
217,Samford,16-14,SoCon
218,Green Bay,16-15,Horizon
219,Youngstown St.,12-17,Horizon
220,Ga. Southern,19-16,Sun Belt
221,Detroit Mercy,15-15,Horizon
222,Portland,13-19,WCC
223,Elon,12-18,CAA
224,Vermont,20-11,America East
225,Southeast Mo. St.,17-13,OVC
226,Cal Poly,12-19,Big West
227,Colgate,16-15,Patriot
228,Western Caro.,13-16,SoCon
229,Coastal Carolina,18-13,Sun Belt
230,Tarleton St.,10-18,WAC
231,Ohio,13-17,MAC
232,Stony Brook,15-15,CAA
233,Saint Peter's,16-12,MAAC
234,San Diego,10-21,WCC
235,Idaho St.,10-20,Big Sky
236,Texas St.,17-13,Sun Belt
237,Eastern Mich.,9-21,MAC
238,Iona,18-14,MAAC
239,UNC Asheville,12-17,Big South
240,Denver,12-17,Summit League
241,Fairfield,20-13,MAAC
242,Charleston So.,12-17,Big South
243,San Jose St.,8-24,Mountain West
244,Rice,11-18,American
245,La Salle,8-23,Atlantic 10
246,Wofford,17-13,SoCon
247,FGCU,14-18,ASUN
248,Abilene Christian,11-19,WAC
249,Princeton,8-20,Ivy League
250,Lamar University,10-19,Southland
251,Nicholls,13-19,Southland
252,Radford,13-16,Big South
253,Purdue Fort Wayne,14-15,Horizon
254,Milwaukee,11-20,Horizon
255,Old Dominion,11-21,Sun Belt
256,American,14-16,Patriot
257,Long Beach St.,8-22,Big West
258,Omaha,12-17,Summit League
259,SIUE,16-13,OVC
260,Presbyterian,12-18,Big South
