rank,team,conference,record
81,UNI,18-12,MVC
82,Wichita St.,19-10,American
83,Utah Valley,19-7,WAC
84,Oklahoma St.,17-12,Big 12
85,SFA,25-4,Southland
86,George Washington,15-13,Atlantic 10
87,Creighton,14-16,Big East
88,Colorado St.,18-10,Mountain West
89,Notre Dame,13-16,ACC
90,Illinois St.,19-11,MVC
91,Ole Miss,12-17,SEC
92,Hofstra,18-10,CAA
93,UNCW,23-5,CAA
94,Liberty,21-5,CUSA
95,Xavier,14-15,Big East
96,DePaul,16-13,Big East
97,Sam Houston,18-8,CUSA
98,George Mason,21-7,Atlantic 10
99,Georgetown,13-16,Big East
100,Murray St.,20-11,MVC
101,Wyoming,15-13,Mountain West
102,Kansas St.,11-18,Big 12
103,Hawaii,19-7,Big West
104,St. Thomas (MN),20-8,Summit League
105,Mississippi St.,13-16,SEC
106,Davidson,16-11,Atlantic 10
107,Oregon,11-18,Big Ten
108,South Carolina,12-17,SEC
109,Marquette,10-19,Big East
110,Pittsburgh,11-18,ACC
111,Bradley,19-11,MVC
112,California Baptist,21-8,WAC
113,Southern Ill.,15-15,MVC
114,Pacific,15-14,WCC
115,UAB,17-11,American
116,UIC,15-14,MVC
117,North Dakota St.,21-7,Summit League
118,Seattle U,17-12,WCC
119,UC Irvine,18-10,Big West
120,UC San Diego,19-9,Big West
121,San Francisco,15-15,WCC
122,Fla. Atlantic,15-13,American
123,Utah,10-19,Big 12
124,William & Mary,16-11,CAA
125,Penn St.,12-17,Big Ten
126,UNLV,14-14,Mountain West
127,Navy,23-6,Patriot
128,ETSU,19-10,SoCon
129,Winthrop,18-10,Big South
130,Montana St.,15-13,Big Sky
131,Memphis,12-17,American
132,Duquesne,14-13,Atlantic 10
133,Saint Joseph's,17-10,Atlantic 10
134,Western Ky.,16-11,CUSA
135,UC Santa Barbara,16-12,Big West
136,Washington St.,11-19,WCC
137,UTRGV,16-13,Southland
138,Troy,18-11,Sun Belt
139,Northern Colo.,17-11,Big Sky
140,Portland St.,16-10,Big Sky
141,Fresno St.,11-17,Mountain West
142,Wright St.,18-11,Horizon
143,Rhode Island,15-14,Atlantic 10
144,Arkansas St.,18-11,Sun Belt
145,North Texas,15-13,American
146,Robert Morris,19-10,Horizon
147,Col. of Charleston,20-10,CAA
148,Maryland,11-18,Big Ten
149,Richmond,14-14,Atlantic 10
150,Kent St.,19-8,MAC
151,St. Bonaventure,14-14,Atlantic 10
152,Cornell,12-12,Ivy League
153,Toledo,14-13,MAC
154,Valparaiso,16-14,MVC
155,Harvard,15-11,Ivy League
156,Austin Peay,19-8,ASUN
157,Bowling Green,14-13,MAC
158,Rutgers,12-17,Big Ten
159,Penn,14-11,Ivy League
160,Kennesaw St.,15-11,CUSA
161,Middle Tenn.,12-14,CUSA
162,Marshall,18-12,Sun Belt
163,Boston College,10-19,ACC
164,Central Ark.,18-11,ASUN
165,Idaho,14-14,Big Sky
166,UT Arlington,13-13,WAC
167,LMU (CA),14-16,WCC
168,Oakland,15-15,Horizon
169,Georgia Tech,11-18,ACC
170,Charlotte,14-14,American
171,Mercer,16-12,SoCon
172,Utah Tech,15-13,WAC
173,Lipscomb,17-12,ASUN
174,UC Davis,15-12,Big West
175,Oregon St.,16-15,WCC
176,South Alabama,19-10,Sun Belt
177,Temple,14-14,American
178,Columbia,14-11,Ivy League
179,Monmouth,15-14,CAA
180,Towson,14-14,CAA
181,Fordham,13-13,Atlantic 10
182,App State,17-12,Sun Belt
183,Marist,17-11,MAAC
184,CSUN,16-12,Big West
185,Merrimack,21-10,MAAC
186,New Mexico St.,10-15,CUSA
187,Northern Ky.,15-13,Horizon
188,Buffalo,14-13,MAC
189,Tennessee St.,18-9,OVC
190,Cal St. Fullerton,13-15,Big West
191,Siena,20-11,MAAC
192,A&M-Corpus Christi,13-14,Southland
193,LIU,21-10,NEC
194,Weber St.,14-15,Big Sky
195,Tulane,16-12,American
196,Furman,16-12,SoCon
197,UT Martin,18-10,OVC
198,Eastern Wash.,12-18,Big Sky
199,Montana,13-14,Big Sky
200,FIU,11-15,CUSA
201,Queens (NC),17-13,ASUN
202,Howard,16-10,MEAC
203,Massachusetts,14-15,MAC
204,South Dakota St.,11-17,Summit League
205,Drake,10-19,MVC
206,James Madison,16-14,Sun Belt
207,Campbell,11-17,CAA
208,Green Bay,15-14,Horizon
209,Elon,12-16,CAA
210,Drexel,15-14,CAA
211,New Orleans,14-17,Southland
212,Quinnipiac,18-12,MAAC
213,Samford,16-13,SoCon
214,Jacksonville St.,11-15,CUSA
215,Youngstown St.,12-16,Horizon
216,Indiana St.,9-20,MVC
217,Coastal Carolina,18-12,Sun Belt
218,Missouri St.,10-16,CUSA
219,Stony Brook,15-13,CAA
220,Southeast Mo. St.,16-12,OVC
221,Tarleton St.,10-16,WAC
222,Ohio,13-14,MAC
223,UMBC,18-8,America East
224,Southern Miss.,14-15,Sun Belt
225,Saint Peter's,16-11,MAAC
226,Portland,11-18,WCC
227,Vermont,17-11,America East
228,Colgate,15-14,Patriot
229,Abilene Christian,10-16,WAC
230,Iona,18-13,MAAC
231,Cal Poly,11-17,Big West
232,Eastern Mich.,9-19,MAC
233,Western Caro.,12-15,SoCon
234,Denver,12-16,Summit League
235,Texas St.,17-12,Sun Belt
236,Detroit Mercy,13-14,Horizon
237,La Salle,7-21,Atlantic 10
238,Idaho St.,9-19,Big Sky
239,Wofford,17-12,SoCon
240,Charleston So.,12-16,Big South
241,UNC Asheville,11-16,Big South
242,Rice,10-17,American
243,San Diego,9-20,WCC
244,Fairfield,18-12,MAAC
245,Bethune-Cookman,16-13,SWAC
246,Milwaukee,11-19,Horizon
247,Louisiana Tech,13-13,CUSA
248,Princeton,8-19,Ivy League
249,Radford,13-15,Big South
250,Nicholls,12-18,Southland
251,Purdue Fort Wayne,14-14,Horizon
252,Lamar University,10-19,Southland
253,Old Dominion,10-20,Sun Belt
254,Ga. Southern,14-15,Sun Belt
255,SIUE,16-12,OVC
256,San Jose St.,7-21,Mountain West
257,Dartmouth,9-15,Ivy League
258,Omaha,11-16,Summit League
259,American,14-15,Patriot
260,East Carolina,10-18,American
261,Morehead St.,16-12,OVC
262,FGCU,12-17,ASUN
263,Lindenwood,14-14,OVC
264,Longwood,13-15,Big South
265,Boston U.,14-16,Patriot
266,Presbyterian,11-17,Big South
267,N.C. A&T,9-17,CAA
268,Sacramento St.,7-20,Big Sky
269,Long Beach St.,7-21,Big West
270,Hampton,11-17,CAA
271,Pepperdine,7-22,WCC
272,UTEP,7-19,CUSA
273,Southern Utah,7-19,WAC
274,Central Mich.,8-19,MAC
275,UC Riverside,8-21,Big West
276,Delaware,9-19,CUSA
277,Western Mich.,9-18,MAC
278,Mercyhurst,13-16,NEC
279,Mount St. Mary's,14-16,MAAC
280,South Dakota,13-15,Summit League
281,UIW,9-19,Southland
282,Central Conn. St.,16-11,NEC
283,Eastern Ky.,9-20,ASUN
284,Bellarmine,10-18,ASUN
285,North Dakota,13-16,Summit League
286,Chattanooga,10-18,SoCon
287,Le Moyne,14-16,NEC
288,Northeastern,6-22,CAA
289,Brown,7-17,Ivy League
290,Lehigh,13-16,Patriot
291,Southern U.,10-16,SWAC
292,USC Upstate,10-18,Big South
293,Houston Christian,10-19,Southland
294,Sacred Heart,12-18,MAAC
295,Southeastern La.,8-22,Southland
296,Northwestern St.,8-21,Southland
297,Jacksonville,10-19,ASUN
298,Grambling,10-17,SWAC
299,Georgia St.,8-21,Sun Belt
300,UNC Greensboro,11-18,SoCon
301,East Texas A&M,9-21,Southland
302,West Ga.,12-16,ASUN
303,Loyola Chicago,7-22,Atlantic 10
304,Evansville,5-24,MVC
305,Tennessee Tech,10-18,OVC
306,Little Rock,10-19,OVC
307,Ball St.,8-19,MAC
308,Wagner,10-16,NEC
309,Alabama A&M,13-13,SWAC
310,Texas Southern,10-16,SWAC
311,Norfolk St.,11-15,MEAC
312,Northern Ariz.,7-21,Big Sky
313,Alabama St.,9-19,SWAC
314,Louisiana,10-21,Sun Belt
315,Cleveland St.,8-21,Horizon
316,NJIT,14-15,America East
317,Oral Roberts,6-22,Summit League
318,IU Indy,5-25,Horizon
319,Florida A&M,11-15,SWAC
320,Stetson,9-20,ASUN
321,Lafayette,10-20,Patriot
322,UMass Lowell,10-17,America East
323,Prairie View,9-17,SWAC
324,Ark.-Pine Bluff,10-17,SWAC
325,Eastern Ill.,9-19,OVC
326,UAlbany,8-19,America East
327,New Haven,11-17,NEC
328,Loyola Maryland,10-19,Patriot
329,Manhattan,11-19,MAAC
330,CSU Bakersfield,6-22,Big West
331,NIU,7-19,MAC
332,Holy Cross,8-21,Patriot
333,FDU,8-20,NEC
334,Army West Point,9-20,Patriot
335,Stonehill,9-20,NEC
336,North Florida,5-24,ASUN
337,Bucknell,9-22,Patriot
338,Maine,7-22,America East
339,North Ala.,7-20,ASUN
340,N.C. Central,8-16,MEAC
341,Niagara,7-22,MAAC
342,UTSA,3-24,American
343,Canisius,9-21,MAAC
344,Chicago St.,6-24,NEC
345,Southern Ind.,5-23,OVC
346,New Hampshire,6-20,America East
347,UMES,7-21,MEAC
348,Alcorn,7-21,SWAC
349,Air Force,3-26,Mountain West
350,The Citadel,7-21,SoCon
351,Jackson St.,9-20,SWAC
352,Morgan St.,10-15,MEAC
353,Bryant,7-20,America East
354,Saint Francis,5-24,NEC
355,ULM,2-27,Sun Belt
356,Rider,3-25,MAAC
357,Kansas City,1-26,Summit League
358,South Carolina St.,6-21,MEAC
359,VMI,3-25,SoCon
360,Binghamton,5-23,America East
361,Gardner-Webb,1-27,Big South
362,Coppin St.,6-23,MEAC
363,Western Ill.,2-26,OVC
364,Delaware St.,3-21,MEAC
365,Mississippi Val.,2-27,SWAC
