rank,team,conference,record
1,Michigan,25-1,Big Ten
2,Duke,24-2,ACC
3,Arizona,24-2,Big 12
4,Illinois,22-5,Big Ten
5,Gonzaga,26-2,WCC
6,Iowa St.,23-3,Big 12
7,Houston,23-3,Big 12
8,Purdue,21-5,Big Ten
9,Florida,20-6,SEC
10,UConn,24-3,Big East
11,Nebraska,22-4,Big Ten
12,Michigan St.,21-5,Big Ten
13,Kansas,20-6,Big 12
14,Louisville,19-7,ACC
15,Vanderbilt,21-5,SEC
16,Virginia,23-3,ACC
17,Texas Tech,19-7,Big 12
18,Arkansas,19-7,SEC
19,Tennessee,19-7,SEC
20,Alabama,19-7,SEC
21,BYU,19-7,Big 12
22,Utah St.,22-3,Mountain West
23,Saint Louis,23-2,Atlantic 10
24,St. John's (NY),21-5,Big East
25,Iowa,19-7,Big Ten
26,NC State,19-8,ACC
27,Saint Mary's (CA),23-4,WCC
28,North Carolina,20-6,ACC
29,Villanova,21-5,Big East
30,Kentucky,17-9,SEC
31,SMU,18-8,ACC
32,Indiana,17-9,Big Ten
33,Clemson,20-7,ACC
34,Auburn,14-12,SEC
35,Wisconsin,18-8,Big Ten
36,Texas,16-9,SEC
37,Miami (FL),21-5,ACC
38,Ohio St.,17-9,Big Ten
39,Georgia,18-8,SEC
40,Santa Clara,21-6,WCC
41,UCLA,17-9,Big Ten
42,New Mexico,19-6,Mountain West
43,Texas A&M,18-8,SEC
44,San Diego St.,17-7,Mountain West
45,VCU,21-6,Atlantic 10
46,UCF,18-7,Big 12
47,TCU,16-10,Big 12
48,Miami (OH),23-0,MAC
49,Baylor,12-13,Big 12
50,Washington,13-13,Big Ten
51,Seton Hall,18-9,Big East
52,Southern California,17-8,Big Ten
53,Belmont,23-4,MVC
54,Tulsa,19-6,American
55,Virginia Tech,17-10,ACC
56,South Fla.,17-8,American
57,McNeese,20-5,Southland
58,Wake Forest,14-12,ACC
59,Missouri,18-8,SEC
60,California,17-8,ACC
61,Akron,19-5,MAC
62,West Virginia,16-10,Big 12
63,Cincinnati,14-12,Big 12
64,Yale,18-4,Ivy League
65,Boise St.,14-10,Mountain West
66,LSU,14-12,SEC
67,Arizona St.,14-12,Big 12
68,Oklahoma,13-13,SEC
69,Grand Canyon,17-9,Mountain West
70,Nevada,17-9,Mountain West
71,Stanford,16-10,ACC
72,Syracuse,15-12,ACC
73,Creighton,14-13,Big East
74,SFA,22-3,Southland
75,Colorado,14-12,Big 12
76,Oklahoma St.,16-10,Big 12
77,Liberty,19-3,CUSA
78,Northwestern,11-16,Big Ten
79,High Point,21-4,Big South
80,Butler,14-13,Big East
81,Minnesota,12-14,Big Ten
82,UNI,17-10,MVC
83,Providence,11-15,Big East
84,Florida St.,13-13,ACC
85,Dayton,17-9,Atlantic 10
86,Notre Dame,12-14,ACC
87,Wichita St.,16-10,American
88,George Washington,14-12,Atlantic 10
89,Utah Valley,15-7,WAC
90,Mississippi St.,13-13,SEC
91,Illinois St.,17-10,MVC
92,Ole Miss,11-15,SEC
93,Colorado St.,15-10,Mountain West
94,Georgetown,13-13,Big East
95,Kansas St.,11-15,Big 12
96,UNCW,20-4,CAA
97,Xavier,13-13,Big East
98,George Mason,20-6,Atlantic 10
99,Hawaii,16-6,Big West
100,Wyoming,13-12,Mountain West
101,Murray St.,19-10,MVC
102,DePaul,14-12,Big East
103,Hofstra,15-10,CAA
104,Davidson,14-10,Atlantic 10
105,Sam Houston,15-8,CUSA
106,Memphis,12-13,American
107,UIC,14-12,MVC
108,Marquette,9-18,Big East
109,California Baptist,19-7,WAC
110,St. Thomas (MN),18-7,Summit League
111,South Carolina,11-15,SEC
112,Pacific,15-12,WCC
113,William & Mary,14-10,CAA
114,UAB,16-10,American
115,Utah,10-16,Big 12
116,Fla. Atlantic,13-12,American
117,Bradley,17-10,MVC
118,Oregon,9-17,Big Ten
119,North Dakota St.,19-6,Summit League
120,UC Irvine,15-9,Big West
121,ETSU,18-8,SoCon
122,Rhode Island,15-11,Atlantic 10
123,Winthrop,16-8,Big South
124,San Francisco,14-14,WCC
125,Washington St.,11-16,WCC
126,Pittsburgh,9-17,ACC
127,Duquesne,14-10,Atlantic 10
128,Seattle U,14-12,WCC
129,Southern Ill.,12-15,MVC
130,UC San Diego,16-9,Big West
131,Portland St.,14-7,Big Sky
132,Austin Peay,17-6,ASUN
133,Penn St.,11-16,Big Ten
134,UC Santa Barbara,15-9,Big West
135,UNLV,12-13,Mountain West
136,Montana St.,12-11,Big Sky
