rank,team,conference,record
1,Duke,26-2,ACC
2,Michigan,27-2,Big Ten
3,Arizona,26-2,Big 12
4,Gonzaga,28-2,WCC
5,Illinois,22-7,Big Ten
6,Florida,22-6,SEC
7,Purdue,22-6,Big Ten
8,Iowa St.,24-4,Big 12
9,UConn,26-3,Big East
10,Houston,23-5,Big 12
11,Michigan St.,23-5,Big Ten
12,Nebraska,24-4,Big Ten
13,Virginia,25-3,ACC
14,Kansas,21-7,Big 12
15,Texas Tech,21-7,Big 12
16,Louisville,20-8,ACC
17,Vanderbilt,22-6,SEC
18,Arkansas,21-7,SEC
19,Alabama,21-7,SEC
20,Tennessee,20-8,SEC
21,BYU,20-8,Big 12
22,Saint Mary's (CA),25-4,WCC
23,Saint Louis,24-3,Atlantic 10
24,St. John's (NY),22-6,Big East
25,Utah St.,22-5,Mountain West
26,North Carolina,22-6,ACC
27,Iowa,20-8,Big Ten
28,NC State,19-9,ACC
29,Kentucky,18-10,SEC
30,Villanova,22-6,Big East
31,SMU,19-9,ACC
32,Miami (FL),22-6,ACC
33,Georgia,19-9,SEC
34,Wisconsin,19-9,Big Ten
35,Auburn,15-13,SEC
36,Clemson,20-8,ACC
37,UCLA,19-9,Big Ten
38,Ohio St.,17-11,Big Ten
39,Indiana,17-11,Big Ten
40,Texas,16-11,SEC
41,Santa Clara,22-7,WCC
42,Texas A&M,19-9,SEC
43,San Diego St.,18-8,Mountain West
44,UCF,20-7,Big 12
45,New Mexico,20-7,Mountain West
46,TCU,18-10,Big 12
47,VCU,21-7,Atlantic 10
48,Tulsa,21-6,American
49,Miami (OH),26-0,MAC
50,Baylor,13-14,Big 12
51,South Fla.,19-8,American
52,Belmont,25-4,MVC
53,Virginia Tech,18-10,ACC
54,Cincinnati,15-13,Big 12
55,Washington,14-14,Big Ten
56,Seton Hall,19-9,Big East
57,Akron,22-5,MAC
58,California,19-8,ACC
59,Missouri,19-9,SEC
60,McNeese,22-5,Southland
61,Boise St.,16-10,Mountain West
62,Southern California,17-10,Big Ten
63,Nevada,19-9,Mountain West
64,LSU,15-13,SEC
65,West Virginia,16-12,Big 12
66,Oklahoma,14-14,SEC
67,Wake Forest,14-14,ACC
68,Yale,19-5,Ivy League
69,Northwestern,12-16,Big Ten
70,Colorado,16-12,Big 12
71,Dayton,20-9,Atlantic 10
72,Minnesota,13-15,Big Ten
73,Grand Canyon,18-10,Mountain West
74,Stanford,17-11,ACC
75,Arizona St.,14-14,Big 12
76,High Point,24-4,Big South
77,Providence,13-15,Big East
78,Syracuse,15-13,ACC
79,Butler,15-14,Big East
80,Oklahoma St.,17-11,Big 12
81,Florida St.,14-14,ACC
82,Utah Valley,18-7,WAC
83,Wichita St.,18-10,American
84,Creighton,14-15,Big East
85,UNI,17-12,MVC
86,George Washington,15-13,Atlantic 10
87,SFA,23-4,Southland
88,Colorado St.,17-10,Mountain West
89,UNCW,23-4,CAA
90,Illinois St.,18-11,MVC
91,Hofstra,17-10,CAA
92,Ole Miss,11-17,SEC
93,Notre Dame,12-16,ACC
94,Liberty,20-5,CUSA
95,Sam Houston,17-8,CUSA
96,Wyoming,14-13,Mountain West
97,Mississippi St.,13-15,SEC
98,Xavier,13-15,Big East
99,Georgetown,13-15,Big East
100,Kansas St.,11-17,Big 12
101,Murray St.,20-10,MVC
102,DePaul,15-13,Big East
103,George Mason,20-7,Atlantic 10
104,Marquette,10-18,Big East
