rank,team,conference,record
108,Davidson,14-11,Atlantic 10
109,UIC,15-13,MVC
110,UAB,17-10,American
111,Bradley,18-11,MVC
112,North Dakota St.,20-6,Summit League
113,St. Thomas (MN),18-8,Summit League
114,Oregon,10-17,Big Ten
115,California Baptist,19-8,WAC
116,Memphis,12-15,American
117,Southern Ill.,13-15,MVC
118,Utah,10-18,Big 12
119,ETSU,19-8,SoCon
120,Fla. Atlantic,13-13,American
121,William & Mary,14-11,CAA
122,Pittsburgh,10-17,ACC
123,UC San Diego,17-9,Big West
124,UC Irvine,16-10,Big West
125,Seattle U,15-12,WCC
126,Winthrop,17-9,Big South
127,UNLV,13-13,Mountain West
128,Duquesne,14-11,Atlantic 10
129,San Francisco,14-15,WCC
130,Washington St.,11-17,WCC
131,Rhode Island,15-12,Atlantic 10
132,Penn St.,11-17,Big Ten
133,Austin Peay,19-6,ASUN
134,Fresno St.,11-16,Mountain West
135,UTRGV,14-13,Southland
136,UC Santa Barbara,15-11,Big West
137,Troy,17-11,Sun Belt
138,Portland St.,15-8,Big Sky
139,Richmond,14-13,Atlantic 10
140,Navy,21-6,Patriot
141,Kent St.,19-7,MAC
142,Maryland,11-16,Big Ten
143,Montana St.,12-13,Big Sky
144,Arkansas St.,17-11,Sun Belt
145,Marshall,18-11,Sun Belt
146,Valparaiso,15-13,MVC
147,Harvard,14-10,Ivy League
148,Wright St.,16-11,Horizon
149,Northern Colo.,15-10,Big Sky
150,North Texas,14-12,American
151,Saint Joseph's,15-10,Atlantic 10
152,Western Ky.,14-11,CUSA
153,Robert Morris,17-10,Horizon
154,St. Bonaventure,13-13,Atlantic 10
155,Col. of Charleston,18-10,CAA
156,Middle Tenn.,10-14,CUSA
157,Utah Tech,14-12,WAC
158,Rutgers,11-17,Big Ten
159,Bowling Green,13-13,MAC
160,UT Arlington,13-12,WAC
161,Penn,12-11,Ivy League
162,Cornell,10-12,Ivy League
163,Toledo,13-13,MAC
164,LMU (CA),13-15,WCC
165,CSUN,16-10,Big West
166,Boston College,9-18,ACC
167,Oakland,14-14,Horizon
168,Lipscomb,16-11,ASUN
169,Marist,17-10,MAAC
170,Idaho,12-13,Big Sky
171,Georgia Tech,11-17,ACC
172,Mercer,15-11,SoCon
173,UC Davis,15-11,Big West
174,Temple,14-12,American
175,South Alabama,18-9,Sun Belt
176,Kennesaw St.,13-11,CUSA
177,Fordham,13-12,Atlantic 10
178,Central Ark.,16-11,ASUN
179,New Mexico St.,10-13,CUSA
180,Charlotte,13-13,American
181,App State,17-11,Sun Belt
182,Merrimack,20-9,MAAC
183,Oregon St.,15-14,WCC
184,Tulane,16-10,American
185,Towson,12-14,CAA
186,Columbia,13-10,Ivy League
187,Buffalo,14-12,MAC
188,Siena,19-10,MAAC
189,UT Martin,17-9,OVC
190,Furman,15-11,SoCon
191,FIU,10-14,CUSA
192,Cal St. Fullerton,13-14,Big West
193,Montana,11-13,Big Sky
194,Weber St.,13-14,Big Sky
195,Monmouth,13-14,CAA
196,Northern Ky.,14-12,Horizon
197,A&M-Corpus Christi,11-14,Southland
198,Massachusetts,14-14,MAC
199,Drake,10-17,MVC
200,LIU,19-10,NEC
201,Youngstown St.,12-14,Horizon
202,New Orleans,14-15,Southland
203,Elon,12-14,CAA
204,Quinnipiac,17-11,MAAC
205,South Dakota St.,10-16,Summit League
206,Queens (NC),16-12,ASUN
207,Eastern Wash.,10-17,Big Sky
208,James Madison,15-13,Sun Belt
209,Campbell,11-15,CAA
210,Howard,14-10,MEAC
211,Stony Brook,15-11,CAA
212,Drexel,14-14,CAA
213,Ohio,13-13,MAC
214,Samford,14-13,SoCon
215,Tennessee St.,16-9,OVC
216,Southeast Mo. St.,15-11,OVC
217,Colgate,15-12,Patriot
218,Jacksonville St.,10-14,CUSA
219,Missouri St.,10-14,CUSA
220,Idaho St.,9-17,Big Sky
221,Green Bay,14-14,Horizon
222,Tarleton St.,10-14,WAC
223,Coastal Carolina,17-12,Sun Belt
224,Denver,12-15,Summit League
225,Vermont,16-11,America East
226,Indiana St.,8-19,MVC
227,Portland,10-17,WCC
228,Cal Poly,10-16,Big West
229,Lamar University,10-17,Southland
230,UNC Asheville,10-15,Big South
231,Southern Miss.,13-15,Sun Belt
232,Eastern Mich.,9-19,MAC
233,San Diego,9-18,WCC
234,Abilene Christian,10-14,WAC
235,Saint Peter's,14-11,MAAC
236,Iona,16-13,MAAC
237,Wofford,16-11,SoCon
238,UMBC,16-8,America East
239,La Salle,7-20,Atlantic 10
240,Texas St.,16-12,Sun Belt
241,Fairfield,17-11,MAAC
242,Dartmouth,9-13,Ivy League
243,Louisiana Tech,12-12,CUSA
244,Detroit Mercy,12-13,Horizon
245,Radford,12-14,Big South
246,American,14-13,Patriot
247,Omaha,11-14,Summit League
248,FGCU,12-15,ASUN
249,Nicholls,11-17,Southland
250,San Jose St.,7-20,Mountain West
251,Western Caro.,10-15,SoCon
252,Rice,9-16,American
253,Purdue Fort Wayne,13-13,Horizon
254,Old Dominion,9-20,Sun Belt
255,Bethune-Cookman,14-13,SWAC
256,Milwaukee,10-19,Horizon
257,Princeton,7-18,Ivy League
258,Charleston So.,10-16,Big South
259,Lindenwood,13-13,OVC
260,Ga. Southern,13-14,Sun Belt
261,N.C. A&T,9-15,CAA
262,UTEP,7-17,CUSA
263,Morehead St.,15-12,OVC
264,SIUE,14-12,OVC
265,Long Beach St.,6-20,Big West
266,Hampton,10-16,CAA
267,Sacramento St.,6-18,Big Sky
268,Presbyterian,11-15,Big South
269,Longwood,12-15,Big South
270,Boston U.,12-16,Patriot
271,East Carolina,8-18,American
272,Delaware,9-17,CUSA
273,Southern U.,10-14,SWAC
274,Pepperdine,6-21,WCC
275,North Dakota,13-15,Summit League
276,Chattanooga,9-17,SoCon
277,Eastern Ky.,9-18,ASUN
278,UC Riverside,7-20,Big West
279,Central Mich.,7-19,MAC
280,Brown,7-15,Ivy League
281,Southern Utah,6-19,WAC
282,Mercyhurst,12-15,NEC
283,Northeastern,6-20,CAA
284,UIW,8-18,Southland
285,Western Mich.,9-17,MAC
286,Central Conn. St.,14-11,NEC
287,Grambling,10-15,SWAC
288,USC Upstate,9-17,Big South
289,Le Moyne,13-15,NEC
290,Bellarmine,9-17,ASUN
291,South Dakota,11-15,Summit League
292,Mount St. Mary's,13-15,MAAC
293,Northwestern St.,8-19,Southland
294,Georgia St.,8-20,Sun Belt
295,Northern Ariz.,7-18,Big Sky
296,Sacred Heart,11-18,MAAC
297,Houston Christian,9-18,Southland
298,Lehigh,11-16,Patriot
299,East Texas A&M,9-19,Southland
300,Southeastern La.,7-21,Southland
301,UNC Greensboro,10-17,SoCon
302,Tennessee Tech,10-16,OVC
303,Evansville,4-22,MVC
304,Norfolk St.,10-14,MEAC
305,Jacksonville,8-19,ASUN
306,Alabama A&M,13-12,SWAC
307,Little Rock,9-18,OVC
308,West Ga.,10-16,ASUN
309,Loyola Chicago,6-22,Atlantic 10
310,NJIT,14-14,America East
311,Louisiana,10-20,Sun Belt
312,Cleveland St.,7-19,Horizon
313,IU Indy,5-22,Horizon
314,Wagner,8-16,NEC
315,Ark.-Pine Bluff,10-16,SWAC
316,UMass Lowell,10-15,America East
317,NIU,7-18,MAC
318,Texas Southern,8-16,SWAC
319,Alabama St.,8-19,SWAC
320,Ball St.,7-19,MAC
321,UAlbany,7-18,America East
322,Eastern Ill.,8-18,OVC
323,Holy Cross,8-19,Patriot
324,Manhattan,11-17,MAAC
325,Stetson,8-19,ASUN
326,New Haven,10-16,NEC
327,Loyola Maryland,9-18,Patriot
328,CSU Bakersfield,6-20,Big West
329,Prairie View,7-17,SWAC
330,Lafayette,8-20,Patriot
331,FDU,8-18,NEC
332,Florida A&M,9-15,SWAC
333,Army West Point,9-18,Patriot
334,Oral Roberts,4-22,Summit League
335,North Florida,4-23,ASUN
336,Bucknell,8-21,Patriot
337,Stonehill,8-19,NEC
338,North Ala.,6-19,ASUN
339,Maine,6-21,America East
340,New Hampshire,6-18,America East
341,Chicago St.,6-22,NEC
342,Southern Ind.,5-22,OVC
343,UTSA,3-22,American
344,Alcorn,7-19,SWAC
345,Jackson St.,9-18,SWAC
346,N.C. Central,6-16,MEAC
347,Niagara,6-21,MAAC
348,Canisius,8-20,MAAC
349,UMES,6-20,MEAC
350,Air Force,3-25,Mountain West
351,Saint Francis,5-22,NEC
352,The Citadel,6-20,SoCon
353,Morgan St.,8-14,MEAC
354,Bryant,6-19,America East
355,ULM,2-25,Sun Belt
356,Kansas City,1-24,Summit League
357,Rider,3-23,MAAC
358,South Carolina St.,5-19,MEAC
359,VMI,3-23,SoCon
360,Binghamton,3-23,America East
361,Delaware St.,3-19,MEAC
362,Western Ill.,2-24,OVC
363,Gardner-Webb,1-25,Big South
364,Coppin St.,6-21,MEAC
365,Mississippi Val.,1-27,SWAC
