rank,team,conference,record
1,Duke,26-2,ACC
2,Michigan,26-2,Big Ten
3,Arizona,26-2,Big 12
4,Illinois,22-6,Big Ten
5,Gonzaga,27-2,WCC
6,Purdue,22-5,Big Ten
7,Florida,21-6,SEC
8,Iowa St.,24-4,Big 12
9,Houston,23-5,Big 12
10,UConn,25-3,Big East
11,Nebraska,23-4,Big Ten
12,Michigan St.,22-5,Big Ten
13,Virginia,25-3,ACC
14,Kansas,21-7,Big 12
15,Texas Tech,21-7,Big 12
16,Louisville,20-8,ACC
17,Vanderbilt,21-6,SEC
18,Arkansas,20-7,SEC
19,Alabama,20-7,SEC
20,Tennessee,20-8,SEC
21,BYU,20-8,Big 12
22,St. John's (NY),22-5,Big East
23,Utah St.,22-4,Mountain West
24,Saint Louis,24-3,Atlantic 10
25,North Carolina,22-6,ACC
26,Saint Mary's (CA),24-4,WCC
27,Iowa,19-8,Big Ten
28,NC State,19-9,ACC
29,Kentucky,18-10,SEC
30,SMU,19-8,ACC
31,Villanova,21-6,Big East
32,Wisconsin,19-8,Big Ten
33,Georgia,19-8,SEC
34,Miami (FL),22-6,ACC
35,Ohio St.,17-10,Big Ten
36,Auburn,15-13,SEC
37,Texas,16-10,SEC
38,Clemson,20-8,ACC
39,UCLA,19-9,Big Ten
40,Indiana,17-11,Big Ten
41,Santa Clara,22-6,WCC
42,Texas A&M,19-8,SEC
43,UCF,20-7,Big 12
44,New Mexico,20-7,Mountain West
45,TCU,18-10,Big 12
46,San Diego St.,17-8,Mountain West
47,VCU,21-7,Atlantic 10
48,Miami (OH),25-0,MAC
49,Baylor,13-14,Big 12
50,Virginia Tech,18-10,ACC
51,Cincinnati,15-13,Big 12
52,South Fla.,18-8,American
53,Belmont,24-4,MVC
54,Washington,14-14,Big Ten
55,Seton Hall,19-9,Big East
56,Tulsa,20-6,American
57,Missouri,19-9,SEC
58,McNeese,22-5,Southland
59,California,18-8,ACC
60,Boise St.,16-10,Mountain West
61,Akron,21-5,MAC
62,Nevada,19-9,Mountain West
63,Southern California,17-10,Big Ten
64,Yale,19-4,Ivy League
65,Wake Forest,14-13,ACC
66,West Virginia,16-12,Big 12
67,LSU,14-13,SEC
68,Oklahoma,14-14,SEC
69,Northwestern,12-16,Big Ten
70,Minnesota,13-15,Big Ten
71,Colorado,15-12,Big 12
72,High Point,23-4,Big South
73,Arizona St.,14-14,Big 12
74,Dayton,19-9,Atlantic 10
75,Stanford,16-11,ACC
76,Grand Canyon,17-10,Mountain West
77,Syracuse,15-13,ACC
78,Butler,15-13,Big East
79,Providence,12-15,Big East
80,Oklahoma St.,17-11,Big 12
81,Utah Valley,17-7,WAC
82,Florida St.,14-14,ACC
83,Creighton,14-14,Big East
84,George Washington,15-12,Atlantic 10
85,UNI,17-11,MVC
86,Wichita St.,17-10,American
87,Colorado St.,17-10,Mountain West
88,SFA,23-4,Southland
89,Liberty,20-4,CUSA
90,Ole Miss,11-16,SEC
91,UNCW,22-4,CAA
92,Illinois St.,17-11,MVC
93,Hofstra,17-10,CAA
94,Mississippi St.,13-14,SEC
95,Notre Dame,12-16,ACC
96,Xavier,13-14,Big East
97,George Mason,20-6,Atlantic 10
98,Wyoming,14-13,Mountain West
99,Georgetown,13-15,Big East
100,Kansas St.,11-16,Big 12
101,Murray St.,20-10,MVC
102,Marquette,10-18,Big East
103,Sam Houston,16-8,CUSA
104,DePaul,14-13,Big East
105,Hawaii,17-7,Big West
106,South Carolina,12-16,SEC
107,Pacific,15-13,WCC
