rank,team,conference,record
1,Duke,31-2,ACC
2,Michigan,30-2,Big Ten
3,Arizona,31-2,Big 12
4,Florida,26-6,SEC
5,Houston,28-5,Big 12
6,Gonzaga,30-3,WCC
7,Iowa St.,27-7,Big 12
8,Illinois,24-8,Big Ten
9,Purdue,25-8,Big Ten
10,UConn,29-4,Big East
11,Michigan St.,25-7,Big Ten
12,Virginia,29-4,ACC
13,Nebraska,26-6,Big Ten
14,Vanderbilt,25-7,SEC
15,Louisville,23-10,ACC
16,Arkansas,24-8,SEC
17,Alabama,23-9,SEC
18,Texas Tech,22-10,Big 12
19,Tennessee,22-11,SEC
20,St. John's (NY),27-6,Big East
21,Kansas,23-10,Big 12
22,Saint Mary's (CA),26-5,WCC
23,BYU,23-11,Big 12
24,North Carolina,24-8,ACC
25,Wisconsin,24-9,Big Ten
26,Iowa,21-12,Big Ten
27,Utah St.,26-6,Mountain West
28,Kentucky,21-13,SEC
29,Saint Louis,27-4,Atlantic 10
30,Ohio St.,21-12,Big Ten
31,UCLA,23-10,Big Ten
32,Miami (FL),25-8,ACC
33,Georgia,22-10,SEC
34,Clemson,24-10,ACC
35,Villanova,24-8,Big East
36,NC State,20-13,ACC
37,SMU,20-13,ACC
38,TCU,22-11,Big 12
39,Auburn,17-16,SEC
40,Santa Clara,25-8,WCC
41,Indiana,18-14,Big Ten
42,Texas,17-14,SEC
43,Texas A&M,21-11,SEC
44,VCU,25-7,Atlantic 10
45,San Diego St.,21-10,Mountain West
46,New Mexico,22-10,Mountain West
47,Oklahoma,19-15,SEC
48,Cincinnati,18-15,Big 12
49,South Fla.,22-8,American
50,Tulsa,24-6,American
51,Baylor,15-16,Big 12
52,UCF,21-11,Big 12
53,Akron,26-5,MAC
54,Seton Hall,21-12,Big East
55,Virginia Tech,19-13,ACC
56,McNeese,26-5,Southland
57,Washington,16-17,Big Ten
58,Missouri,20-12,SEC
59,West Virginia,18-14,Big 12
60,Boise St.,19-11,Mountain West
61,Stanford,20-12,ACC
62,Florida St.,18-15,ACC
63,Belmont,25-6,MVC
64,Miami (OH),28-1,MAC
65,Northwestern,15-19,Big Ten
66,Yale,21-5,Ivy League
67,Wake Forest,17-16,ACC
68,California,20-11,ACC
69,Grand Canyon,20-12,Mountain West
70,Nevada,22-12,Mountain West
71,UNI,22-12,MVC
72,Arizona St.,17-16,Big 12
73,Dayton,22-10,Atlantic 10
74,Oklahoma St.,19-14,Big 12
75,High Point,27-4,Big South
76,Colorado,17-15,Big 12
77,LSU,15-17,SEC
78,Southern California,17-14,Big Ten
79,Minnesota,15-17,Big Ten
80,Providence,15-18,Big East
81,Wichita St.,20-10,American
82,Creighton,15-17,Big East
83,Ole Miss,15-19,SEC
84,Utah Valley,22-7,WAC
85,Butler,16-16,Big East
86,Syracuse,15-17,ACC
87,Colorado St.,20-12,Mountain West
88,Hofstra,22-10,CAA
89,SFA,26-5,Southland
90,Georgetown,16-18,Big East
91,George Washington,17-15,Atlantic 10
92,George Mason,22-9,Atlantic 10
93,Notre Dame,13-18,ACC
94,Illinois St.,19-12,MVC
95,Marquette,12-20,Big East
96,UNCW,24-6,CAA
