rank,team,conference,record
137,UC Santa Barbara,15-10,Big West
138,Kent St.,18-7,MAC
139,Montana St.,12-12,Big Sky
140,Wright St.,16-10,Horizon
141,UTRGV,13-12,Southland
142,Richmond,13-13,Atlantic 10
143,Arkansas St.,15-11,Sun Belt
144,Northern Colo.,14-10,Big Sky
145,Cornell,10-11,Ivy League
146,Marshall,17-10,Sun Belt
147,Navy,20-6,Patriot
148,Bowling Green,13-12,MAC
149,Rutgers,11-15,Big Ten
150,Maryland,10-16,Big Ten
151,St. Bonaventure,13-12,Atlantic 10
152,North Texas,13-12,American
153,Saint Joseph's,14-10,Atlantic 10
154,UT Arlington,13-11,WAC
155,Boston College,9-17,ACC
156,Valparaiso,14-13,MVC
157,Col. of Charleston,17-10,CAA
158,Robert Morris,16-10,Horizon
159,Harvard,13-10,Ivy League
160,Middle Tenn.,9-14,CUSA
161,Oakland,13-14,Horizon
162,CSUN,15-10,Big West
163,Marist,16-10,MAAC
164,Utah Tech,13-12,WAC
165,Penn,12-10,Ivy League
166,Temple,14-11,American
167,Mercer,14-11,SoCon
168,Toledo,11-13,MAC
169,Central Ark.,16-10,ASUN
170,Georgia Tech,11-16,ACC
171,New Mexico St.,9-13,CUSA
172,Idaho,11-13,Big Sky
173,LMU (CA),12-15,WCC
174,UC Davis,14-11,Big West
175,Columbia,13-9,Ivy League
176,Kennesaw St.,12-11,CUSA
177,Western Ky.,13-11,CUSA
178,Towson,12-13,CAA
179,Lipscomb,15-11,ASUN
180,Merrimack,19-9,MAAC
181,Charlotte,12-13,American
182,Tulane,15-10,American
183,Oregon St.,14-14,WCC
184,App State,16-11,Sun Belt
185,South Alabama,17-9,Sun Belt
186,Montana,11-12,Big Sky
187,Fordham,12-12,Atlantic 10
188,Buffalo,13-11,MAC
189,Massachusetts,14-12,MAC
190,UT Martin,17-9,OVC
191,Siena,18-10,MAAC
192,Elon,12-13,CAA
193,Northern Ky.,14-11,Horizon
194,FIU,9-14,CUSA
195,Monmouth,13-13,CAA
196,LIU,19-9,NEC
197,Cal St. Fullerton,12-14,Big West
198,Furman,14-11,SoCon
199,A&M-Corpus Christi,10-13,Southland
200,Quinnipiac,17-10,MAAC
201,Weber St.,12-14,Big Sky
202,Drake,10-17,MVC
203,Youngstown St.,11-14,Horizon
204,Queens (NC),15-12,ASUN
205,Campbell,11-14,CAA
206,South Dakota St.,9-16,Summit League
207,Samford,14-12,SoCon
208,Colgate,14-12,Patriot
209,Tarleton St.,10-13,WAC
210,Stony Brook,14-11,CAA
211,Lamar University,10-15,Southland
212,Green Bay,14-13,Horizon
213,James Madison,14-13,Sun Belt
214,Southeast Mo. St.,14-11,OVC
215,Missouri St.,10-13,CUSA
216,New Orleans,12-15,Southland
217,Ohio,12-13,MAC
218,Drexel,13-14,CAA
219,Eastern Wash.,9-17,Big Sky
220,Howard,13-10,MEAC
221,Jacksonville St.,10-13,CUSA
222,Eastern Mich.,9-17,MAC
223,Portland,10-16,WCC
224,Vermont,15-11,America East
225,San Diego,9-17,WCC
226,Idaho St.,8-17,Big Sky
227,Denver,11-15,Summit League
228,Cal Poly,10-16,Big West
229,Texas St.,16-11,Sun Belt
230,Coastal Carolina,15-12,Sun Belt
231,Indiana St.,8-18,MVC
232,Wofford,16-10,SoCon
233,Tennessee St.,15-9,OVC
234,Abilene Christian,9-14,WAC
235,Saint Peter's,14-10,MAAC
236,UNC Asheville,9-15,Big South
237,Southern Miss.,12-14,Sun Belt
238,UMBC,15-8,America East
239,Iona,16-12,MAAC
240,La Salle,6-19,Atlantic 10
241,Detroit Mercy,11-13,Horizon
242,Radford,12-13,Big South
243,Louisiana Tech,12-11,CUSA
244,Fairfield,16-11,MAAC
245,Omaha,11-14,Summit League
246,Rice,9-15,American
247,Lindenwood,13-12,OVC
248,Charleston So.,10-15,Big South
249,San Jose St.,6-19,Mountain West
250,Old Dominion,9-18,Sun Belt
251,Dartmouth,8-13,Ivy League
252,Milwaukee,10-18,Horizon
253,FGCU,11-15,ASUN
254,American,13-13,Patriot
255,SIUE,14-11,OVC
256,Purdue Fort Wayne,12-13,Horizon
257,Ga. Southern,13-13,Sun Belt
258,Bethune-Cookman,13-13,SWAC
259,Princeton,7-18,Ivy League
260,Nicholls,10-16,Southland
261,Western Caro.,9-15,SoCon
262,Long Beach St.,6-19,Big West
263,Sacramento St.,6-17,Big Sky
264,Hampton,10-15,CAA
265,UTEP,7-16,CUSA
266,Morehead St.,13-12,OVC
267,Presbyterian,11-14,Big South
268,Boston U.,12-15,Patriot
269,East Carolina,8-17,American
270,Delaware,9-16,CUSA
271,Central Conn. St.,14-10,NEC
272,N.C. A&T,8-15,CAA
273,Pepperdine,6-20,WCC
274,Longwood,11-15,Big South
275,North Dakota,13-14,Summit League
276,Northeastern,6-19,CAA
277,UC Riverside,7-19,Big West
278,Southern Utah,6-18,WAC
279,Grambling,9-14,SWAC
280,Southern U.,9-14,SWAC
281,Le Moyne,13-14,NEC
282,Brown,7-15,Ivy League
283,Eastern Ky.,8-18,ASUN
284,South Dakota,11-14,Summit League
285,Georgia St.,8-18,Sun Belt
286,Bellarmine,9-16,ASUN
287,Chattanooga,8-17,SoCon
288,Mercyhurst,11-15,NEC
289,East Texas A&M,9-17,Southland
290,Western Mich.,8-16,MAC
291,UIW,7-17,Southland
292,Central Mich.,6-18,MAC
293,USC Upstate,8-17,Big South
294,Southeastern La.,7-19,Southland
295,Houston Christian,8-17,Southland
296,Mount St. Mary's,12-15,MAAC
297,UNC Greensboro,10-16,SoCon
298,Sacred Heart,11-17,MAAC
299,Lehigh,10-16,Patriot
300,Northwestern St.,6-19,Southland
301,Northern Ariz.,7-17,Big Sky
302,Evansville,4-21,MVC
303,Alabama A&M,13-11,SWAC
304,Little Rock,9-17,OVC
305,Texas Southern,8-15,SWAC
306,Jacksonville,8-18,ASUN
307,Norfolk St.,9-14,MEAC
308,Loyola Chicago,6-21,Atlantic 10
309,NJIT,14-13,America East
310,West Ga.,10-15,ASUN
311,Cleveland St.,7-18,Horizon
312,Tennessee Tech,9-16,OVC
313,IU Indy,5-22,Horizon
314,Alabama St.,8-18,SWAC
315,NIU,7-16,MAC
316,Wagner,7-16,NEC
317,Ark.-Pine Bluff,9-16,SWAC
318,Louisiana,9-19,Sun Belt
319,UMass Lowell,9-15,America East
320,Eastern Ill.,8-17,OVC
321,UAlbany,7-17,America East
322,Ball St.,6-19,MAC
323,FDU,8-17,NEC
324,Lafayette,8-19,Patriot
325,Manhattan,11-17,MAAC
326,CSU Bakersfield,6-19,Big West
327,New Haven,9-15,NEC
328,Prairie View,7-16,SWAC
329,Stetson,7-19,ASUN
330,Loyola Maryland,9-17,Patriot
331,Army West Point,9-17,Patriot
332,Holy Cross,7-19,Patriot
333,Florida A&M,8-15,SWAC
334,North Florida,4-22,ASUN
335,Oral Roberts,3-22,Summit League
336,Bucknell,8-20,Patriot
337,New Hampshire,6-17,America East
338,North Ala.,6-18,ASUN
339,Stonehill,7-19,NEC
340,UTSA,3-21,American
341,Jackson St.,9-17,SWAC
342,Maine,5-21,America East
343,N.C. Central,6-15,MEAC
344,Niagara,6-20,MAAC
345,Canisius,8-19,MAAC
346,Chicago St.,5-22,NEC
347,UMES,6-19,MEAC
348,Southern Ind.,4-21,OVC
349,Air Force,3-23,Mountain West
350,The Citadel,6-19,SoCon
351,Alcorn,6-19,SWAC
352,Saint Francis,4-21,NEC
353,Morgan St.,7-14,MEAC
354,Bryant,6-19,America East
355,Kansas City,1-23,Summit League
356,ULM,2-24,Sun Belt
357,South Carolina St.,5-18,MEAC
358,VMI,3-22,SoCon
359,Rider,2-23,MAAC
360,Binghamton,3-22,America East
361,Delaware St.,3-18,MEAC
362,Western Ill.,2-23,OVC
363,Gardner-Webb,1-25,Big South
364,Coppin St.,5-21,MEAC
365,Mississippi Val.,0-26,SWAC
