rank,team,conference,record
101,DePaul,16-15,Big East
102,Oregon,12-19,Big Ten
103,California Baptist,23-8,WAC
104,Sam Houston,18-10,CUSA
105,St. Thomas (MN),21-9,Summit League
106,Davidson,17-12,Atlantic 10
107,South Carolina,13-18,SEC
108,Murray St.,20-12,MVC
109,Pittsburgh,12-19,ACC
110,Mississippi St.,13-18,SEC
111,UNLV,15-15,Mountain West
112,Hawaii,20-8,Big West
113,UIC,17-15,MVC
114,Bradley,20-12,MVC
115,North Dakota St.,24-7,Summit League
116,Pacific,16-15,WCC
117,UAB,19-11,American
118,UC Irvine,20-10,Big West
119,San Francisco,16-16,WCC
120,UC San Diego,20-10,Big West
121,Southern Ill.,15-16,MVC
122,Seattle U,18-13,WCC
123,Fla. Atlantic,15-14,American
124,Saint Joseph's,19-10,Atlantic 10
125,Memphis,13-18,American
126,ETSU,21-10,SoCon
127,Montana St.,15-14,Big Sky
128,William & Mary,18-12,CAA
129,Utah,10-21,Big 12
130,Winthrop,20-11,Big South
131,Penn St.,12-19,Big Ten
132,Troy,19-11,Sun Belt
133,Wright St.,19-11,Horizon
134,UTRGV,16-13,Southland
135,Robert Morris,20-10,Horizon
136,Portland St.,17-10,Big Sky
137,UC Santa Barbara,16-13,Big West
138,Navy,24-7,Patriot
139,Northern Colo.,17-11,Big Sky
140,Duquesne,15-14,Atlantic 10
141,Cornell,13-12,Ivy League
142,Washington St.,11-20,WCC
143,Rutgers,13-18,Big Ten
144,Rhode Island,16-15,Atlantic 10
145,North Texas,16-13,American
146,Toledo,15-14,MAC
147,Kent St.,21-8,MAC
148,Penn,15-11,Ivy League
149,Fresno St.,12-18,Mountain West
150,Harvard,16-11,Ivy League
151,Maryland,11-20,Big Ten
152,Richmond,14-16,Atlantic 10
153,Arkansas St.,18-12,Sun Belt
154,Middle Tenn.,14-14,CUSA
155,Bowling Green,15-13,MAC
156,Western Ky.,16-13,CUSA
157,Valparaiso,17-15,MVC
158,St. Bonaventure,14-16,Atlantic 10
159,Boston College,11-20,ACC
160,Towson,17-14,CAA
161,Idaho,16-14,Big Sky
162,UT Arlington,15-13,WAC
163,Col. of Charleston,20-11,CAA
164,Temple,15-15,American
165,Austin Peay,20-9,ASUN
166,Central Ark.,20-12,ASUN
167,Georgia Tech,11-20,ACC
168,Marshall,18-13,Sun Belt
169,Monmouth,17-14,CAA
170,Kennesaw St.,15-13,CUSA
171,Oregon St.,17-15,WCC
172,Tennessee St.,20-9,OVC
173,Merrimack,23-10,MAAC
174,Fordham,14-14,Atlantic 10
175,Utah Tech,15-14,WAC
176,UC Davis,16-13,Big West
177,Oakland,15-16,Horizon
178,Northern Ky.,17-13,Horizon
179,LMU (CA),14-17,WCC
180,Cal St. Fullerton,15-15,Big West
181,Mercer,16-13,SoCon
182,Marist,18-12,MAAC
183,Charlotte,14-16,American
184,Columbia,14-12,Ivy League
185,South Alabama,19-11,Sun Belt
186,New Mexico St.,12-15,CUSA
187,Queens (NC),20-13,ASUN
188,Siena,22-11,MAAC
189,App State,17-13,Sun Belt
190,CSUN,17-13,Big West
191,FIU,12-16,CUSA
192,Campbell,14-17,CAA
193,Lipscomb,17-13,ASUN
194,Furman,18-12,SoCon
195,Drake,12-20,MVC
196,A&M-Corpus Christi,13-14,Southland
197,Weber St.,14-15,Big Sky
198,Buffalo,15-14,MAC
199,Montana,13-14,Big Sky
200,LIU,23-10,NEC
201,Eastern Wash.,12-18,Big Sky
202,Howard,17-10,MEAC
203,Massachusetts,15-15,MAC
204,UT Martin,19-11,OVC
205,UMBC,20-8,America East
206,Tulane,16-14,American
207,James Madison,17-15,Sun Belt
208,New Orleans,15-17,Southland
209,South Dakota St.,11-18,Summit League
210,Drexel,16-16,CAA
211,Jacksonville St.,12-16,CUSA
212,Quinnipiac,18-13,MAAC
213,Louisiana Tech,15-13,CUSA
214,Missouri St.,11-17,CUSA
215,Indiana St.,9-21,MVC
216,Green Bay,16-15,Horizon
217,Samford,16-14,SoCon
218,Southern Miss.,17-16,Sun Belt
219,Ga. Southern,19-15,Sun Belt
220,Youngstown St.,12-17,Horizon
221,Portland,13-19,WCC
222,Elon,12-18,CAA
223,Vermont,19-11,America East
224,Tarleton St.,10-17,WAC
225,Southeast Mo. St.,17-13,OVC
226,Western Caro.,13-16,SoCon
227,Ohio,13-16,MAC
228,Cal Poly,12-18,Big West
229,Detroit Mercy,14-14,Horizon
230,Colgate,16-15,Patriot
231,Coastal Carolina,18-13,Sun Belt
232,Stony Brook,15-15,CAA
233,Saint Peter's,16-12,MAAC
234,San Diego,10-21,WCC
235,La Salle,8-22,Atlantic 10
236,Idaho St.,10-20,Big Sky
237,Texas St.,17-13,Sun Belt
238,UNC Asheville,12-17,Big South
239,Iona,18-14,MAAC
240,Eastern Mich.,9-21,MAC
241,Denver,12-17,Summit League
242,Fairfield,20-13,MAAC
243,Charleston So.,12-17,Big South
244,Rice,11-18,American
245,Wofford,17-13,SoCon
246,Nicholls,13-18,Southland
247,FGCU,14-18,ASUN
248,Abilene Christian,10-18,WAC
249,Princeton,8-20,Ivy League
250,Lamar University,10-19,Southland
251,Radford,13-16,Big South
252,Milwaukee,11-20,Horizon
253,Purdue Fort Wayne,14-15,Horizon
254,Old Dominion,11-21,Sun Belt
255,Bethune-Cookman,16-14,SWAC
256,San Jose St.,7-23,Mountain West
257,Boston U.,16-16,Patriot
258,Omaha,12-17,Summit League
259,American,14-16,Patriot
260,Long Beach St.,8-22,Big West
261,SIUE,16-13,OVC
262,Presbyterian,12-18,Big South
263,Lindenwood,15-15,OVC
264,Dartmouth,9-16,Ivy League
265,Morehead St.,17-13,OVC
266,East Carolina,10-20,American
267,Longwood,13-16,Big South
268,UTEP,8-20,CUSA
269,Sacramento St.,7-21,Big Sky
270,Hampton,11-19,CAA
271,Southern Utah,7-21,WAC
272,North Dakota,15-17,Summit League
273,Pepperdine,7-23,WCC
274,UC Riverside,8-22,Big West
275,Mercyhurst,15-16,NEC
276,N.C. A&T,9-19,CAA
277,Southern U.,12-16,SWAC
278,UIW,9-19,Southland
279,Mount St. Mary's,14-17,MAAC
280,Central Mich.,8-21,MAC
281,Western Mich.,9-20,MAC
282,Lehigh,15-16,Patriot
283,Northeastern,7-24,CAA
284,South Dakota,13-16,Summit League
285,Bellarmine,11-19,ASUN
286,Delaware,10-20,CUSA
287,Chattanooga,10-19,SoCon
288,Central Conn. St.,16-12,NEC
289,Loyola Chicago,8-23,Atlantic 10
290,Le Moyne,14-17,NEC
291,Eastern Ky.,9-21,ASUN
292,Sacred Heart,13-19,MAAC
293,UNC Greensboro,13-19,SoCon
294,Houston Christian,10-20,Southland
295,Brown,7-18,Ivy League
296,Southeastern La.,8-22,Southland
297,Jacksonville,10-20,ASUN
298,West Ga.,13-17,ASUN
299,Ball St.,10-19,MAC
300,Northwestern St.,8-22,Southland
301,Grambling,11-18,SWAC
302,East Texas A&M,9-21,Southland
303,USC Upstate,10-19,Big South
304,Wagner,11-17,NEC
305,Evansville,5-25,MVC
306,Georgia St.,8-22,Sun Belt
307,Tennessee Tech,10-18,OVC
308,Alabama A&M,14-14,SWAC
309,Little Rock,10-20,OVC
310,Stetson,10-21,ASUN
311,Oral Roberts,7-23,Summit League
312,Louisiana,11-22,Sun Belt
313,Norfolk St.,11-16,MEAC
314,Northern Ariz.,7-22,Big Sky
315,Florida A&M,12-15,SWAC
316,Prairie View,10-17,SWAC
317,Ark.-Pine Bluff,11-18,SWAC
318,UMass Lowell,12-17,America East
319,Cleveland St.,8-22,Horizon
320,Texas Southern,10-17,SWAC
321,Alabama St.,9-21,SWAC
322,IU Indy,5-25,Horizon
323,Eastern Ill.,10-20,OVC
324,Lafayette,10-21,Patriot
325,UAlbany,8-21,America East
326,New Haven,11-17,NEC
327,NJIT,15-16,America East
328,Loyola Maryland,10-20,Patriot
329,Manhattan,11-20,MAAC
330,CSU Bakersfield,6-24,Big West
331,Holy Cross,9-22,Patriot
332,Stonehill,10-21,NEC
333,Bucknell,10-23,Patriot
334,FDU,8-21,NEC
335,Army West Point,9-21,Patriot
336,NIU,7-21,MAC
337,North Florida,5-25,ASUN
338,North Ala.,7-21,ASUN
339,Maine,7-24,America East
340,Chicago St.,6-25,NEC
341,Niagara,7-22,MAAC
342,UTSA,3-25,American
343,Canisius,9-21,MAAC
344,Southern Ind.,5-23,OVC
345,The Citadel,8-22,SoCon
346,New Hampshire,7-21,America East
347,N.C. Central,8-17,MEAC
348,Jackson St.,11-20,SWAC
349,Air Force,3-28,Mountain West
350,UMES,7-22,MEAC
351,Morgan St.,11-15,MEAC
352,Alcorn,8-22,SWAC
353,Saint Francis,5-24,NEC
354,Bryant,7-22,America East
355,ULM,2-28,Sun Belt
356,Rider,3-25,MAAC
357,South Carolina St.,7-21,MEAC
358,Kansas City,1-27,Summit League
359,VMI,3-26,SoCon
360,Binghamton,5-23,America East
361,Gardner-Webb,2-28,Big South
362,Delaware St.,4-21,MEAC
363,Coppin St.,6-24,MEAC
364,Western Ill.,2-26,OVC
365,Mississippi Val.,2-29,SWAC
