rank,team
1,Duke
2,Arizona
3,Michigan
4,Florida
5,Houston
6,Iowa St.
7,UConn
8,Purdue
9,Virginia
10,St. John's (NY)
11,Michigan St.
12,Gonzaga
13,Illinois
14,Arkansas
15,Nebraska
16,Vanderbilt
17,Kansas
18,Alabama
19,Wisconsin
20,Texas Tech
21,North Carolina
22,Saint Mary's
25,Miami (FL)
