rank,team
1,Duke
2,Arizona
3,Michigan
4,Iowa St.
5,Houston
6,UConn
7,Florida
8,Purdue
9,Gonzaga
10,Illinois
11,Virginia
12,Nebraska
13,Michigan St.
14,Kansas
15,St. John's (NY)
16,Texas Tech
17,Alabama
18,North Carolina
19,BYU
20,Arkansas
21,Miami (OH)
22,Tennessee
23,Saint Louis
24,Louisville
25,Vanderbilt
